ID	tweet	Affect Dimension	Intensity Score
2017-En-40464	and naoto nod they also like tha bands. but they also frown. ' will the bands ' papa roach ' be at concert...? '	anger	0.229
2017-En-10812	@wesrucker247 sounds like a good game plan for our offense...	anger	0.202
2017-En-10065	in 2016,black people are still fighting to be recognized as human beings. #cantsleep #angry	anger	0.885
2017-En-10247	i will never watch greys anatomy ever ever ever ever ever again if [Name] [Name] takes away another og character ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ ☹ ️ #fuming	anger	0.583
2017-En-10825	@ezlisteningdisc it doesn't offend me but it's just,,,weird.	anger	0.188
2017-En-10017	i hate my lawn mower. if it had a soul,i'd condemn it to the fiery pits of [Name].	anger	0.833
2017-En-10958	@cutefunnyanimal @luvcaps19 my sister's dog does this. i think it's because they knows it'll provoke a reaction	anger	0.375
2017-En-10587	the bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye	anger	0.290
2017-En-10544	#taurus will react angrily when they can't take being provoked any longer.	anger	0.438
2017-En-11699	forgiving means operating with [Name] spirit & [Name] isn't unforgiving & doesn't hold a grudge. so who am i? exactly.	anger	0.250
2017-En-10056	absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡	anger	0.750
2017-En-11170	i only have to wave a fiery cross and we will f * * kin ' do this!	anger	0.667
2017-En-10078	@justyne_haley it does. if one person ruins season 13 for me,i will be so angry	anger	0.729
2017-En-11450	i hate not having the answers i need. #tomourssuck #prayinsnotcancer	anger	0.583
2017-En-10354	@mdivincenzo9 [Name] stupid,i hate them lol	anger	0.521
2017-En-11662	@mintmilana where is the outrage when black [Name] get killed in the crossfire between blacks shooting each other?	anger	0.646
2017-En-11358	my anger is boiling over.	anger	0.750
2017-En-10465	you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended	anger	0.479
2017-En-11539	@jaredwyand maybe if it was transgender the media would cover it	anger	0.479
2017-En-41105	@jamiesonhelen @mariankeyes all three of my agin's on the pout.	anger	0.296
2017-En-10604	@everycolorbot more like every color looks the same #triggered #colorblind	anger	0.396
2017-En-11671	@christelle_c actually,wait,i do,the constant outrage thing gets on my wick sometimes and it happened to flick my annoyance today. :)	anger	0.646
2017-En-10887	everybody talking about ' the first day of fall ' but summer ' 16 is never gonna die #revenge @drake	anger	0.417
2017-En-11615	i'm much to full of resentment	anger	0.688
2017-En-10403	now that i have my ex's number now its time to prank them. #revenge #prank #whatprankishoulddo seriously what prank i should i do	anger	0.500
2017-En-11106	[Name] was with someone in the car when they did their revenge on grayson	anger	0.292
2017-En-10981	stop tracking back you fucking potato faced cunt errrr infuriating 😠 😠 😠 #rooney #mufc	anger	0.917
2017-En-10607	@unknownandyoung — a low growl escaping them. oh oh.	anger	0.396
2017-En-10144	@watcherdev @warcraftdevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! thanks blizzard	anger	0.667
2017-En-10540	@thedrepabon blm was outraged by the shooting in nc the other day,turns out the guy pointed gun at police. wait for facts before outrage	anger	0.438
2017-En-30340	just watched [Name] [Name],other people may frown,but i titter in delight! 2/5	anger	0.229
2017-En-10472	@audreykare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao	anger	0.479
2017-En-11551	@martinclouseau - as ceo of a charity you could reasonably expect @eduardo_lacs not to attempt to crudely inflame tensions.	anger	0.479
2017-En-10275	sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like >	anger	0.562
2017-En-10549	after becoming boiling hot,after slowly melting,my heart is frozen.	anger	0.438
2017-En-11037	i wanna kill you and destroy you. i want you died and i want their back. #emo #scene #fuck #die #hatered	anger	0.771
2017-En-11010	@__lucymellor no idea,just exhausted and i was tidying my room and just burst out crying... fs	anger	0.375
2017-En-10249	you will never find someone who loved you like i did. and that my love,will be my revenge.	anger	0.583
2017-En-10633	@warfarepower dip it in boiling water	anger	0.396
2017-En-41516	boy oh boy! our weekday schedule is crazy! but no matter how tired i am i do whatever it takes to keep the smile on [Name] face from a frown	anger	0.371
2017-En-10310	@douthatnyt @jbouie @damonlinker yes,it is bad to point out racism lest it provoke the racists. some racists do indeed not like it.	anger	0.542
2017-En-11468	@adamsinger bubble implies it will burst?	anger	0.438
2017-En-10531	[Name] forever. [Name] should have won! [Name] played such a better game! #bb18	anger	0.438
2017-En-41368	you forever straight so fix that frown u good 😇 @amayyaaag__	anger	0.458
2017-En-10766	recommended reading: prisoners of hate by [Name] [Name]	anger	0.292
2017-En-11254	@magicalmunicorn may i suggest,that you have a meal that is made with beans,onions & garlic,the day before class. #revenge	anger	0.292
2017-En-10627	congress acting indignant over the #epipen pricing is quite disingenuous since they craft the laws that allow such gouging!!	anger	0.396
2017-En-10374	@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. no winning this elec	anger	0.521
2017-En-41185	@haileywiggins_ @flenner_alisha good. takes more muscles to frown than smile	anger	0.229
2017-En-10114	@verizonsupport thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta #thanks #angry	anger	0.688
2017-En-10421	@cxmbeferre so you wouldnt date me??? #offended	anger	0.494
2017-En-11599	don't be offended,\ ni'm just doing something that,\ ngives your life more hurts. \ n \ n #haikuchallenge #poetry	anger	0.500
2017-En-10447	thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out kylexy is gay and married 😭 #nochance #kindadontmind 😉	anger	0.479
2017-En-10613	y'all really insult coz of soccer??? lmao,wow!!!	anger	0.396
2017-En-11665	will i offend you \ nif i am truthful but kind \ nor will you see why? \ n @baffled #haikuchallenge #offend	anger	0.500
2017-En-11577	who the [Name] is drilling outside my house?! literally got to sleep at half four after a busy shift and these twats have woken me up #fuming	anger	0.667
2017-En-11455	so many ' protests for peace ' going on lately but all i see is people burning down they're own cities and hometowns. practice what u preach.	anger	0.722
2017-En-10044	why does @dapperlaughs have to come to glasgow on a night i am working. i am fucking gutted,been waiting for an appearance for ages	anger	0.733
2017-En-10023	tasers immobilize,if you taser someone why the fuck do you need to shoot them one second later?! this is really sick! #rage #wtf #murder	anger	0.812
2017-En-11390	i'd rather dump gasoline all over myself and run into a burning building than use excel.	anger	0.750
2017-En-10482	inner conflict happens when we are at odds with ourselves. honor your values and priorities. #anger #innerconflict #conflict #values	anger	0.458
2017-En-10676	nurse practitioner: ' you look pretty bad. no offense of course. ' \ n \ nthank you,that really added that spark of positivity i needed today.	anger	0.444
2017-En-10013	why does @dapperlaughs have to come to glasgow on a night i am working. i am fucking gutted,been waiting for an appearance for ages #raging	anger	0.938
2017-En-10182	@canada4trumpnow @donlemon they has bad temperament #tantrums #hissyfits	anger	0.646
2017-En-10254	@hoopdawg87 @micktheperm meanwhile white cops keep killing black people. but there's less outrage about that. strange society that.	anger	0.500
2017-En-10731	@eamaddennfl @easports i played a game where [Name] [Name] was sacked 3x and fumbled all 3x. is this the same [Name] [Name] i know of???	anger	0.333
2017-En-10947	wanna go home and focus up on this game. don't wanna rage at all	anger	0.375
2017-En-11030	@jamierjn she's all over the political map in their relentless pursuit of power.	anger	0.333
2017-En-10716	praying for the #lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness	anger	0.354
2017-En-11064	troubled soul don't loose your heart ' cause [Name] and peace they brings and the beauty that's in store outweighs the hurt of life's [Name].	anger	0.354
2017-En-11115	dear hipster behind me at the game i am finding it very hard to pay attention while you talk about the politics of grapes of wrath. shut up!	anger	0.854
2017-En-11432	i freaking hate working with #word on my phone #write #writing #writerslife #writerproblems #writer	anger	0.542
2017-En-10902	s / o to the girl that just hit my car... not only did they get lucky w / no scratch but also from being spared the wrath of sleep deprived kait 🙃	anger	0.542
2017-En-11042	ok so i got my madden 17 refunded but now i [Name] wait a few days for the money and now [Name] pre-order fifa again...	anger	0.458
2017-En-11481	glad i didn't watch smackdown because i can't see my men @jasonjordanjj @wwegable lose. #sohurt #revenge	anger	0.542
2017-En-10730	when a grown adult doesn't drink or has never drank before i just assume they were raised around a raging alcoholic and they want no parts.	anger	0.333
2017-En-10955	they gonna give this kkk police bitch the minimum sentence.. just wattch	anger	0.708
2017-En-11192	@smendler ( 1 ) watch out for memes & statements designed to make you feel outrage,but that don't give you anything to * do * about situation	anger	0.542
2017-En-10521	@1voicematters @michaeltpremo just got wind of #menforchoice and it doesn't infuriate me. just makes me sad for the generation.	anger	0.438
2017-En-10913	@fluffysoftlouis no no. i insist that you give me your best insult first	anger	0.562
2017-En-10897	might just leave and aggravate bae	anger	0.417
2017-En-11694	@callofduty how do u guys determine teams? cause i'm 80 % on shitty teams when i play and i'm fuckin over it #cod #rage	anger	0.604
2017-En-11208	resentment is rlly my shit.	anger	0.562
2017-En-11224	the ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me	anger	0.750
2017-En-11435	fear the fearsome fury of the forest fawn!	anger	0.375
2017-En-11150	every dancers dream song #snap #worldpower	anger	0.188
2017-En-10272	@lexual__ @jdspielman10 rip to the 100s of black men,, women,[Name] killed in chicago. where is the outrage?	anger	0.562
2017-En-11360	fuming	anger	0.708
2017-En-20660	@aroseblush hello! \ nthe bigger the bully,the more crocodile tears. bullies always act like offended victims.	anger	0.542
2017-En-11553	look what we have available in store now!!! \ n \ nliquid incense for those who can't burn sticks or cones or have smoke in they home!!!	anger	0.208
2017-En-10163	men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope	anger	0.646
2017-En-10236	@thomsoncares [Name] - yes we have! not helpful at all! we need this sorting asap! you keep promising stuff that doesn't happen!!!	anger	0.583
2017-En-11393	@delta correction 26 ppl. checked in. standing at the gate. & flt 1449 took off without us. #furious	anger	0.646
2017-En-11644	@relunrelated while i do not see [Name] [Name] being a raging liberal,i doubt that they would say such a thing.	anger	0.396
2017-En-10320	@nm_nicknocturne incentivise people to roam the internet being morally offended,as if they didn't do it enough already.	anger	0.542
2017-En-10102	@oscar_perria a multimillionaire spoiled brat who gets in a self righteous huff bc their friend is muslim is a non starter bye!	anger	0.708
2017-En-10099	@politico @realdonaldtrump another angry white man!	anger	0.708
2017-En-10805	mm,okay. ham for you and turkey for me. ' gives their hair a ruffle before heading back in the kitchen to set out the > > \ n @darksithkenobi	anger	0.250
2017-En-10534	@coltonflurry @strangefacesla i cancelled by cbs all access live feeds before [Name] even said [Name] won afp. paul.should have won imo	anger	0.438
2017-En-10900	kik to trade,have fun or a conversation ( kik: youraffair ) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored	anger	0.167
2017-En-11514	@iamsj i'm so mad for our clients i'm furious lmao	anger	0.625
2017-En-10526	[Name] ate all my mac n cheese so imma eat all their taffy	anger	0.438
2017-En-11645	they who is affected by an insult is infected by it.	anger	0.417
2017-En-10842	@savageimiike one of my favorite songs brother,real talk.	anger	0.157
2017-En-10432	@sarah_urbina why do you even beef [Name] you let the anger get the best of you,you and [Name] been friends for how long?	anger	0.479
2017-En-10693	i can't even right now #bb18	anger	0.354
2017-En-10498	skipping meals is the national way of showing #disappointment and #anger. #wiz	anger	0.458
2017-En-10590	@jbcrewdotcom how their own fans insult them	anger	0.417
2017-En-11621	stk is expensive but i'f rather take a bigger female there than tiff. you all see how slim they is and how they loves to eat.	anger	0.375
2017-En-10903	@liamcannon1 [Name] just too raging to type properly... ha ha!	anger	0.375
2017-En-10200	#my #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #jesus [Name]... #amen.	anger	0.543
2017-En-10928	[Name] is just too damn earnest for early morning listening. #sting	anger	0.446
2017-En-10164	in 2016,black people are still fighting to be recognized as human beings. #cantsleep	anger	0.646
2017-En-10686	gameday [Name] buford today at 5:30 at home!!! never been so excited #revenge	anger	0.354
2017-En-10155	i have 1000 rabid grizzly bears i'm going to scatter in neighborhoods all over america. \ n \ nthey're poor refugees! \ n \ n #inyourneighborhoodnotdc	anger	0.646
2017-En-11183	what a fucking muppet. @jrwild1 #fuming #stalker.	anger	0.792
2017-En-41282	@kagehime3 i'm so starved for content i'd take it but i'd def pout about it ( ՟ ິ ͫ ઘ ՟ ິ ͫ )	anger	0.396
2017-En-11369	yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when i question it?	anger	0.672
2017-En-11035	i wanna kill you and destroy you. i want you died and i want [Name] back. #emo #scene #anger #fuck #die #hatered	anger	0.833
2017-En-11209	i resent being tired and annoyed that the word [Name] is splashed across the news. this should be a slam-dunk for me	anger	0.542
2017-En-10783	it takes a man to suffer ignorance and smile. be yourself,no matter what they say.	anger	0.271
2017-En-11108	@zavierdaniels had to snap going crazy 😭 😭	anger	0.458
2017-En-10417	i am using twitter as a coping mechanism for raging out at this kid oops?	anger	0.500
2017-En-11086	@pearsedoherty @harrymcgee @irishtimes that might [Name] for a bit lads but you'll get over it. #betterwithsinnfein	anger	0.417
2017-En-11661	i am their fury. i am their patience. i am a conversation.	anger	0.312
2017-En-11079	[Name] playing big river outside the bridges in sr1	anger	0.271
2017-En-11421	my cat is bloody lucky the rspca weren't open at 3am last night!!! #fuming 😡 🐱	anger	0.750
2017-En-10674	@evanareteos :) ) im now writing abt the changing face of sex industry in tr :) ) ) now men will talk to me then!	anger	0.375
2017-En-11680	stuck in a infuriate scrum about hegemonists. #infuriate #scrum #scrum #stuck	anger	0.698
2017-En-10410	why a puerto rican with taino hair and a black nose [Name] ruffle your targeted feathers?	anger	0.500
2017-En-11272	@garthjennings loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?	anger	0.333
2017-En-11453	@pharah_amari [ [Name] snarled in frustrated anger,steel claws flexing dangerously. but they uttered those damning words,it seems to snap - -	anger	0.500
2017-En-10205	spurs radio commentator referred to [Name] [Name] as ' mopo ' and i felt a sudden surge of rage.	anger	0.625
2017-En-11097	people you need to look up the definition of protest. what you are doing is not protesting is called vandalism. #angry #stop	anger	0.780
2017-En-10033	since the ' update ' my @iphone loses power nearly 40 % faster. #furious	anger	0.792
2017-En-11520	wow... one of my dads top favorite throwback rappers just died in a fiery car crash today in atlanta,so sad so sad 😷 😷	anger	0.396
2017-En-10844	@aurena1701 @angryorchard they didn't [Name] me luckily. they just flew off happy and drunk. lolololol	anger	0.146
2017-En-10794	@dmanthonyjoseph @theclumpany no grudge. only truth in abundance.	anger	0.271
2017-En-10753	@klipto the orange one is #poisonous and #bitter. you shouldn't judge the #blue one by how it looks but by how it tastes,#delicious.	anger	0.312
2017-En-11590	[Name] always wondered how long [Name] put up with [Name] crap. not gon lie 😐	anger	0.521
2017-En-10774	focus on yourself. don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.	anger	0.292
2017-En-11391	@ee your website is making me feel violent rage and your upgrade options aren't helping either. #aaaaarrrrgghhh #iwanttocancel	anger	0.934
2017-En-40499	what's a kali's kitten? [ they asked,a frown curling on their fair skinned forehead as they showed their the scar ] a cat did - ( @scarredtiger )	anger	0.417
2017-En-11365	there are adults commiting serious crimes in the name of protest. ( like burning a library ) how are we just expecting them to get a warning?	anger	0.604
2017-En-10965	@sportingtommo @asfcofficial no doubt we are going to struggle this year. but moments like that from payet take the [Name] out of it.	anger	0.458
2017-En-11487	anger that you are willing to take out on people & the world in general,& all #police,is worst,most indefensible kind of #anger.	anger	0.729
2017-En-10847	@callidissima @ahouseingotham wrath of khan is one of the best movies of all time	anger	0.146
2017-En-10991	@spookyhelder... specifically are the cause of it all,and they resent being considered the enemy.	anger	0.417
2017-En-10075	how the fu * k! who the heck! moved my fridge!... should i knock the landlord door. #mad # #	anger	0.729
2017-En-10502	why are people so angry toward veggie burgers at in n out wtf	anger	0.458
2017-En-10786	@nessamatthews [Name] perfect. but not even in that way where you sort of resent them or suspect that they leads a double life. just perfect.	anger	0.271
2017-En-10951	@shae_caitlin ur road rage gives me anxiety.	anger	0.438
2017-En-10341	when you find out the initiative isn't even a thing 😧 #revenge	anger	0.542
2017-En-11679	stuck in a infuriate scrum about hegemonists. #scrum #scrum #stuck	anger	0.625
2017-En-10113	i didn't find out about this till today due to my bff telling me. i am so disgusted and offended by this.	anger	0.750
2017-En-11225	living life so relentless	anger	0.417
2017-En-11278	everton not playing and fume on here have day off	anger	0.646
2017-En-40802	[ @hedgehogdylan ] * they would frown a bit,folding their arms * ' why is it that every time i'm in need of assistance someone expects a lil * *	anger	0.500
2017-En-10841	@thomeagle just to help maintain and boost our status as a world class centre for education,culture and tolerance.	anger	0.167
2017-En-10518	[Name] forever. [Name] should have won! [Name] played such a better game! #bb18 #angry	anger	0.466
2017-En-10661	i need to stop second guess myself and just go with the first thought and go with it. #relentless	anger	0.425
2017-En-11050	you [Name] like a bee but you're still my honey.	anger	0.229
2017-En-10972	not sorry for that burst of anti #allo spam,fuck any messaging app launching in 2016,without encryption on by default.	anger	0.708
2017-En-11465	@rmcunliffe i don't read articles by people who rage about how horrible ' cybernats ' are. got it?	anger	0.604
2017-En-11400	@iucifaer you can go on what you usually do its just their own personal reason and not mean to offend anyone :(	anger	0.625
2017-En-11509	im 16 if you want to see my dick snap / kik me at hiya 2247 😘 #kik #kikme #snapchat #snapme #horny #porn #naked #young	anger	0.479
2017-En-10781	colors of the leaves are - changing. heatwaves in la still - raging. lattes made in batches. visit pumpkin patches. #fallsongs	anger	0.271
2017-En-10935	@trevorhmoore @paget_old in scotland,the right-wingers are the most rabid anti-nationalists. socialists are mostly in favour.	anger	0.604
2017-En-10142	i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the boiling sun again	anger	0.667
2017-En-10599	as your own lives in order to complete our amazing life journey successfully,it is there. #bitter	anger	0.417
2017-En-11122	me: * sees incense burner * is this for drugs?	anger	0.354
2017-En-11111	if i do my homework now i can watch revenge and possibly go out tonight ' \ n * plays on phone for 2 hours to avoid doing homework	anger	0.438
2017-En-11045	favourite quote of the year so far is by @ameliameech ' i swore at a parsnip ' 😂	anger	0.312
2017-En-11612	i just poured boiling water on my foot.. now my cup of tea is less enjoyable,but worse my football career is foiled.	anger	0.479
2017-En-11266	it's #thirstythursday which means it's time to #rage. get ready for tonight with personal #hydration. book now. 305-912-4937. #itslit #miami	anger	0.312
2017-En-10359	whenever i put ' i wanna be adored ' on my brother alwayss sings ' i wanna be a dog ' instead just to irritate me	anger	0.415
2017-En-11510	im 16 if you want to see my dick snap / kik me at hiya 2247 😘 #kik #kikme #snapchat #snap #snapme #horny #porn #naked #young	anger	0.375
2017-En-10038	@rtrn94 mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment	anger	0.792
2017-En-10183	i can't even right now #bb18 #rage	anger	0.646
2017-En-10425	i just love it when people make plans for me without actually including me in this process	anger	0.479
2017-En-41297	heading home to cut grass in the heat. all i wanna do is go out to eat somewhere air conditioned. #adultingistheworst	anger	0.354
2017-En-10893	@pbhushan1 @indianexpress so in your opinion is this the worst delhi govt? #acrid #hypocrisy	anger	0.526
2017-En-11167	@callumpinner you came in at silly o'clock and woke me up that's what happened #wasted	anger	0.625
2017-En-11515	the bushes were good with the forces of resentment when it made them money and gave them power. now that it doesn't they've changed tunes.	anger	0.438
2017-En-40503	candice's pout gets more preposterous by the week. this week it's gone a bit [Name] [Name] [Name]. #gbbo	anger	0.373
2017-En-10464	@drudge_report @foxnews good thing the fbi didn't offend them!	anger	0.479
2017-En-10433	@lydss_xx @tharealversace @fatbellybella fuckin luv incense,this is me as fuck 😂	anger	0.479
2017-En-10160	@skyuk what a joke!! cut our internet off early ' by mistake ' and then don't reinstate it when we no longer need an engineer 😡	anger	0.646
2017-En-10422	drop snapchat names #bored #snap #swap #pics	anger	0.500
2017-En-10195	@realbd_ @reyesaverie 47 unarmed blacks killed by white cops in 2015. that many die every month in chicago wheres the	anger	0.625
2017-En-10068	can't believe [Name] killed me! #angry	anger	0.750
2017-En-10749	i'm just doing what u should b doing just minding my business and grinding relentless @lito615	anger	0.312
2017-En-10475	@len_snart gives a frustrated growl,before stepping closer and putting their gun through the barrier. no alarms and nothing happened. they -	anger	0.458
2017-En-10601	straight people are canoodling on the quad and i'm	anger	0.417
2017-En-11418	especially when it comes to voicing a displeasure,if you can't tell me straight up then hold your peace ✌ ️ ️	anger	0.354
2017-En-10314	@irishtimespol @irishtimes irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!	anger	0.542
2017-En-11281	@tokyosexpolice can i get away of this wrath by reading manga instead of watching overdone anime	anger	0.468
2017-En-40347	@arcadianluthier - - taking out their feelings on [Name] unfairly. their lips form a frown as they tries to walk away.	anger	0.521
2017-En-11070	@jankhambrams you sound like my husband @enistachia... they makes hotter and hotter sauce - the fiery torment brings them mouth-joy! 🔥	anger	0.292
2017-En-10185	why are people that don't have iphones so bitter about iphones??? can someone explain	anger	0.625
2017-En-11271	@dominos_uk worst thing is i have confimation from them	anger	0.500
2017-En-10290	said it before and i'll say it now: america is really fortunate that black people only want equality and not revenge.	anger	0.562
2017-En-11586	@tobyirish1 yes but you were specifically fuming about them not signing enough people	anger	0.479
2017-En-10650	doing some testing with my current earth burst team	anger	0.375
2017-En-10859	@illinoisloyalty that rutgers game was an abomination. an affront to [Name] and man. we must never speak of it again.	anger	0.562
2017-En-10413	@kerrybowen_ you have anger issues!	anger	0.500
2017-En-10837	follow me on snapchat 👻 carlabtst 15 #snapchat #snap	anger	0.167
2017-En-10370	@cbsbigbrother never bring back [Name] and [Name]. crying because someone looks at you? ugh,and [Name]. #bitter	anger	0.521
2017-En-10728	@kateracculia @themathofyou it's true! i reverse-engineered the drink. it's a scientific method. i hear it's all the rage.	anger	0.333
2017-En-10388	imagine the twitter fume if [Name] loses the election and then [Name] leads labour to a worse result than suggested under [Name].. imagine??	anger	0.500
2017-En-10171	@snowangel415 @cjwalters66 maybe also being attacked by [Name] rabid fans to whom they & their clothes were always perfect also put me off them...	anger	0.646
2017-En-10260	@alyssasimpson21 i gave up [Name] [Name] to eat barbecue with them. #bitter	anger	0.583
2017-En-10428	@voguemagazine,did you not learn from @freepeople ' s viral insult to ballet? stop trying to wrongfully stick models into pointe shoes 🙄	anger	0.479
2017-En-10836	ughhh love a clean house and my incense lit aromatherapy	anger	0.260
2017-En-11004	@twojacksdetail @bluelivesmtr very rare an officer just shoots without regard. they don't want that on their conscience. #incite #inflame	anger	0.646
2017-En-10394	🔥 anger is the acid that can do more harm to the vessel in which it is stored than to anything on which it is poured. 🔥 #anger \ n \ n ~ [Name] twain	anger	0.500
2017-En-11250	and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers	anger	0.688
2017-En-10073	absolutely fuming i've just scratched all my car 😡 😡 😡	anger	0.750
2017-En-10865	@huwellwell one chosen by the clp members! mp seats are not for people to dole out to their mates,we elect candidates. #fuming	anger	0.682
2017-En-10016	@arizonacoyotes not to mention the gra guy stops me but let's the 2 ppl in front of me go. wtf. my blood is boiling.	anger	0.854
2017-En-11039	using multiple combs simultaneously is what i like to call impressive work!! ; - o #ohsnap #daaamn	anger	0.296
2017-En-10193	@winksahoy we about to get shit on by the wrath of winter out of nowhere	anger	0.625
2017-En-10778	need a new outlet for	anger	0.292
2017-En-11099	re: #politicallycorrect #bs what if i am #offended by your assumption the usa should change because you are a ' visitor ' & don't like it?	anger	0.583
2017-En-10823	i need to stop second guess myself and just go with the first thought and go with it.	anger	0.208
2017-En-10328	guys irritate me	anger	0.542
2017-En-10199	@canada4trumpnow @donlemon they has bad temperament #hissyfits	anger	0.625
2017-En-11131	@o2academybham since when the fuck can you not stand at a concert?	anger	0.750
2017-En-11014	@jamielamieee @gerbicapiral_ @dory then i look at you and we burst out laughing	anger	0.229
2017-En-11065	we floated like butterflies. now you [Name] like bees! '	anger	0.271
2017-En-10092	worst juror ever? [Name]. you were [Name] biggest threat. #bitter #bb18	anger	0.729
2017-En-10741	when you find out the initiative isn't even a thing 😧	anger	0.312
2017-En-11378	how hard is it to get in touch with @bt_uk! one simple question i can't find answer to on website and 1 hour waiting for online chat	anger	0.646
2017-En-10578	if i could just get my line to block! #germantownbroncos #lilleague #popwarner #broncos #usafootball #lineman	anger	0.417
2017-En-10555	@regalisazura \ ngrasp the cobalt woman's own ; which they did fairly easily. fair cheeks would ignite into a fiery hue. warm.. was the only	anger	0.438
2017-En-10123	@groupanon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage this is a joke.let em destroy their town	anger	0.688
2017-En-11485	cuz even the bible talks about the son coming back with a fiery sword they got from their [Name]. they just called their a whore in revelations	anger	0.396
2017-En-10469	oh these old things on my face? nah they're not tears from school related anger and frustration nope never	anger	0.479
2017-En-11094	instagram seriously sort your sh * t out. i spent ages writing that caption for you to delete it and not post it!! #fume #instagram	anger	0.729
2017-En-11605	@andrew_jrt i don't really understand the burst and semi auto version bc the damage doesn't change so those are essentially useless	anger	0.521
2017-En-21198	#awareness seek #shelter. #letgo old #habit of chasing #desires resultin in #anger #fear #worry. #choose #satisfaction within #peace #relax	anger	0.312
2017-En-41026	candice's standing pout face aggravates me every week	anger	0.521
2017-En-11216	jelly baby is my favourite insult	anger	0.396
2017-En-11688	i be trying to not stay playing madden and 2k 17 but its just so addictive 😭 😭	anger	0.250
2017-En-10074	@ms_heartattack holy shit it just a bee [Name] like fuck you're not dying	anger	0.553
2017-En-10059	@jrdingy96 ikr people still got a grudge against them for no reason like wtf?!	anger	0.750
2017-En-11262	[Name],who did nothing is hating on [Name] game hahaha... #bitter #bb18	anger	0.500
2017-En-10577	@skinkev let's rage	anger	0.417
2017-En-11561	@groovybruce @larsrjs44 @ashvsevildead the ' groovier ' part is an affront to common decency. no way @vancityreynolds agrees.	anger	0.375
2017-En-11527	losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes & whoever picked up cut me off #fuming #noworkforme	anger	0.771
2017-En-10663	dear future big brother players,just chase dick all season and you too can win 500,00 dollars and an sti #bb18	anger	0.370
2017-En-10211	• my brother grabbed me in a aggressive manner and as always @impetuousfiend threw tantrums like a kid only knowing how to express themself - -	anger	0.625
2017-En-10550	@xandraaa5 @amayaallyn6 shut up hashtags are cool	anger	0.438
2017-En-11437	@bungie spent over 2 fucking hours and still can't get that dam siva fragment on fellwinters peak mountain #angry	anger	0.708
2017-En-10139	@manutd you have had from me over the years is irrelevant. its an absolute joke. #manutd #ticketing #noloyalty #joke #notimpressed	anger	0.667
2017-En-10512	@thatomahapa the best revenge is to get yourself a good woman and move on. leave their and their hairline to figure themselves out alone	anger	0.438
2017-En-10970	huge congratulations to [Name] winning big brother 18! @bbnicole #bb18 sorry not sorry #bbmichelle	anger	0.188
2017-En-10181	i got fever highs \ ni got boiling blood	anger	0.646
2017-En-10606	@parrishwalton @kjmgolf also,our best assets on offense are our rb's and our wr's ( longterm ). have to have an offense to utilize both.	anger	0.396
2017-En-10956	i just got murdered in madden. 🤕	anger	0.417
2017-En-10557	i believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character.	anger	0.417
2017-En-11408	@marktobyrne i offered @wholefoods @amazon @cheapair gold or silver but they said nah... #bitcoin	anger	0.438
2017-En-10140	all [Name] is breaking loose in [Name]. #charlotteprotest #anger #looting	anger	0.667
2017-En-11386	should i give the windy tiger those ankle and wrist tapes? i didn't include any character-specific details in the burning fox,so...	anger	0.419
2017-En-11482	glad i didn't watch smackdown because i can't see my men @jasonjordanjj @wwegable lose. #sohurt	anger	0.354
2017-En-10036	@ggreenwald @susansarandon we are blaming 5 % of the fucking idiots who are putting the world in the middle of their tantrums. you are one.	anger	0.792
2017-En-10616	@rumanaa_r @daiiyroasts what did i do to offend you? 🙄 😭 😂	anger	0.396
2017-En-10153	when you break a record in #madden i wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms	anger	0.812
